,mid,name,sex,level,has_fans_badge,title,has_live_room,zone
481470422,481470422,吃货小姐姐Hamzy,保密,6,True,bilibili 知名美食UP主,1,"{'生活': 1, '美食': 246}"
284120,284120,三无Marblue,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'生活': 1, '资讯': 1, '音乐': 162}"
38351330,38351330,阿幕降临,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'动画': 67, '生活': 4, '游戏': 10, '娱乐': 1}"
29296192,29296192,虫哥说电影,保密,6,True,bilibili 知名影视UP主,1,"{'动画': 5, '鬼畜': 1, '时尚': 1, '生活': 5, '国创': 2, '影视': 243, '知识': 1, '娱乐': 5}"
16539048,16539048,一只小仙若,女,6,True,bilibili 直播签约主播、知名UP主,1,"{'舞蹈': 98, '生活': 6, '音乐': 2, '游戏': 2, '娱乐': 1}"
4408538,4408538,我是怪异君,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 1, '舞蹈': 1, '生活': 42, '影视': 80, '电影': 1, '音乐': 5, '知识': 4, '游戏': 3, '娱乐': 1}"
35836017,35836017,OneMillion_舞蹈教室,保密,6,False,bilibili 知名UP主,1,"{'舞蹈': 2039, '时尚': 1, '生活': 29, '数码': 1, '音乐': 1, '娱乐': 23}"
154021609,154021609,老邪说电影,男,6,True,bilibili 知名影视UP主,1,"{'动画': 1, '生活': 10, '影视': 347, '游戏': 2, '娱乐': 22}"
4059920,4059920,靖菌命,保密,6,True,bilibili 知名游戏UP主、直播签约主播,1,"{'动画': 1, '生活': 2, '音乐': 4, '游戏': 180}"
26633150,26633150,wlop-,男,6,True,bilibili 知名动漫UP主,1,"{'生活': 77, '国创': 3, '音乐': 1, '知识': 5}"
1605721,1605721,允星河Yoseya,保密,6,True,bilibili 知名UP主,1,"{'动画': 10, '生活': 13, '音乐': 1, '游戏': 73}"
450595813,450595813,文不叮,女,6,True,bilibili 知名时尚UP主,1,"{'时尚': 59, '生活': 29, '影视': 1}"
161419374,161419374,山药视频,保密,6,True,bilibili 2018百大UP主、 知名美食UP主,1,"{'生活': 7, '美食': 249}"
289887832,289887832,痴鸡小队官方,保密,6,True,bilibili 知名动漫UP主,1,"{'生活': 1, '国创': 1, '游戏': 40}"
30643878,30643878,野-食小哥,男,6,True,bilibili 2018百大UP主、 知名美食UP主,1,"{'生活': 2, '美食': 195}"
20503549,20503549,doyoudo,保密,6,True,北京我也爱你们科技有限公司,1,"{'动画': 1, '鬼畜': 2, '生活': 10, '数码': 1, '美食': 1, '音乐': 4, '知识': 298}"
326246517,326246517,zettaranc,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 104, '生活': 18, '数码': 1, '知识': 4, '游戏': 1, '娱乐': 5}"
398510,398510,泽野螳螂,保密,6,True,bilibili 2018百大UP主、 知名UP主,1,"{'动画': 1, '鬼畜': 77, '生活': 1}"
1885078,1885078,nya酱的一生,保密,6,True,bilibili 2018百大UP主、 知名UP主,1,"{'舞蹈': 2, '时尚': 101, '生活': 64, '美食': 61, '游戏': 13}"
262453663,262453663,Vinheteiro,保密,6,True,bilibili 知名音乐UP主,1,"{'生活': 27, '音乐': 131, '娱乐': 1}"
233108841,233108841,命运-冠位指定,保密,6,True,命运-冠位指定官方账号,1,{'游戏': 49}
515993,515993,枪弹轨迹,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 116, '舞蹈': 1, '生活': 24, '音乐': 11, '游戏': 7}"
345630501,345630501,黄龄,保密,6,True,歌手 黄龄,1,"{'音乐': 57, '知识': 1, '娱乐': 3}"
21031789,21031789,王尼玛,男,6,False,《暴走漫画》官方主编,1,"{'动画': 4, '鬼畜': 1, '舞蹈': 1, '生活': 194, '影视': 3, '美食': 1, '游戏': 1, '娱乐': 2}"
94114029,94114029,吃货请闭眼,保密,6,True,bilibili 2019百大UP主、知名美食UP主,1,"{'舞蹈': 1, '生活': 3, '美食': 333}"
3404595,3404595,卡布叻_周深,保密,6,True,歌手 周深,1,"{'动画': 2, '音乐': 15, '娱乐': 3}"
8969156,8969156,小白测评,保密,6,True,bilibili 知名科技UP主,1,"{'生活': 10, '数码': 746, '知识': 3, '游戏': 2}"
381435385,381435385,CSGO大茄子,男,6,True,bilibili 知名游戏UP主，CSGO主播大茄子,1,"{'鬼畜': 6, '舞蹈': 2, '生活': 42, '美食': 2, '游戏': 830}"
94281836,94281836,文西与阿漆,保密,6,True,bilibili 知名搞笑UP主,1,"{'动画': 4, '生活': 322, '影视': 270, '游戏': 2}"
2306780,2306780,哔哩哔哩线下活动,保密,6,True,哔哩哔哩线下活动官方账号,1,"{'动画': 3, '舞蹈': 9, '番剧': 7, '时尚': 1, '生活': 22, '音乐': 64, '知识': 1, '游戏': 1}"
39627524,39627524,食贫道,男,6,True,bilibili 知名美食UP主,1,"{'舞蹈': 1, '生活': 53, '资讯': 28, '美食': 208, '音乐': 1, '知识': 1}"
17546432,17546432,马壮实Hera,男,6,True,bilibili 2019百大UP主、知名美食UP主,1,"{'生活': 4, '美食': 259, '游戏': 1}"
79577853,79577853,智能路障,保密,6,True,bilibili 知名UP主,1,"{'知识': 40, '游戏': 19}"
7792521,7792521,还有一天就放假了,男,6,True,bilibili 2019百大UP主、知名鬼畜UP主,1,"{'鬼畜': 127, '生活': 2, '音乐': 5}"
72270557,72270557,芳斯塔芙,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'生活': 6, '影视': 1, '美食': 1, '知识': 88, '游戏': 1}"
125526,125526,-LKs-,保密,6,True,bilibili 知名UP主,1,"{'动画': 2, '鬼畜': 7, '舞蹈': 2, '时尚': 4, '生活': 42, '数码': 48, '美食': 6, '音乐': 25, '知识': 50, '游戏': 99}"
234256,234256,逗川kshadow,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 1, '生活': 2, '数码': 1, '音乐': 1, '游戏': 242}"
25876945,25876945,极客湾Geekerwan,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'生活': 11, '影视': 1, '数码': 184, '知识': 20, '游戏': 1}"
386900246,386900246,神楽七奈Official,女,6,True,bilibili 知名UP主,1,"{'动画': 51, '生活': 11, '音乐': 30, '游戏': 9}"
15967711,15967711,油兔不二字幕组,保密,6,True,bilibili 知名UP主,1,"{'动画': 56, '鬼畜': 13, '舞蹈': 10, '时尚': 94, '生活': 2427, '纪录片': 68, '影视': 219, '数码': 100, '美食': 132, '音乐': 370, '知识': 1605, '游戏': 28, '娱乐': 189}"
423442,423442,KBShinya,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'动画': 1, '鬼畜': 1, '生活': 13, '资讯': 2, '美食': 6, '音乐': 267, '知识': 1, '游戏': 15}"
17171565,17171565,蔡老板家的长工,男,6,True,bilibili 知名影视UP主,1,"{'动画': 4, '生活': 13, '国创': 1, '影视': 974, '知识': 15, '游戏': 14, '娱乐': 1}"
382651856,382651856,战双帕弥什,保密,6,True,战双帕弥什手游官方账号,1,"{'国创': 13, '音乐': 9, '游戏': 107}"
2142762,2142762,老戴在此,男,6,True,bilibili 知名游戏UP主,1,"{'动画': 1, '生活': 2, '数码': 12, '游戏': 1012, '娱乐': 1}"
9550310,9550310,萧忆情Alex,男,6,True,bilibili 2018百大UP主、知名UP主,1,"{'国创': 1, '美食': 1, '音乐': 226, '知识': 1}"
433587902,433587902,央视频,保密,6,True,央视频官方账号,1,"{'动画': 2, '舞蹈': 1, '生活': 187, '国创': 3, '纪录片': 59, '影视': 52, '数码': 3, '资讯': 827, '美食': 6, '音乐': 16, '知识': 92, '游戏': 1, '娱乐': 146}"
2019740,2019740,逆风笑,保密,6,True,bilibili 知名UP主,1,"{'生活': 1, '游戏': 921}"
7349,7349,STN工作室,男,6,True,bilibili 2019百大UP主、 知名游戏UP主、直播签约主播,1,"{'动画': 20, '舞蹈': 1, '时尚': 2, '生活': 136, '国创': 1, '影视': 26, '数码': 7, '美食': 12, '音乐': 20, '知识': 3, '游戏': 696, '娱乐': 2}"
147166910,147166910,雨哥到处跑,保密,6,True,Vlog领域优质UP主,1,"{'动画': 5, '生活': 122, '美食': 4, '音乐': 2, '游戏': 4, '娱乐': 2}"
26023642,26023642,Big笑工坊,男,6,True,bilibili 知名UP主，Big笑工坊官方账号,1,"{'动画': 8, '生活': 234, '影视': 75, '音乐': 1, '游戏': 1}"
28642491,28642491,楼上的老张,保密,6,True,bilibili 知名游戏UP主,1,"{'鬼畜': 1, '生活': 107, '美食': 3, '游戏': 386}"
6739643,6739643,话很多的小姐姐们,女,6,True,bilibili 知名影视UP主,1,"{'动画': 1, '时尚': 2, '生活': 34, '影视': 336, '美食': 5, '游戏': 7, '娱乐': 62}"
19071708,19071708,潮汕好男人,保密,6,True,bilibili 2019百大UP主、知名UP主,1,{'鬼畜': 123}
34189415,34189415,low君热剧,男,6,True,bilibili 知名UP主,1,"{'动画': 6, '生活': 5, '国创': 6, '影视': 336, '音乐': 1, '游戏': 1, '娱乐': 12}"
19456751,19456751,文曰小强,男,6,True,bilibili 2018百大UP主、 知名影视UP主,1,"{'动画': 18, '生活': 5, '国创': 8, '纪录片': 3, '影视': 315, '知识': 12, '游戏': 2}"
297242063,297242063,黄一刀有毒,保密,6,False,bilibili 知名搞笑UP主,1,"{'动画': 3, '生活': 97, '美食': 1}"
349721082,349721082,清华大学,保密,6,True,清华大学官方账号,1,"{'动画': 1, '生活': 293, '纪录片': 20, '数码': 1, '资讯': 1, '美食': 3, '音乐': 17, '知识': 161}"
454719565,454719565,奇闻观察室,保密,6,True,bilibili 知名科普UP主,0,"{'生活': 2, '影视': 1, '知识': 83}"
